name,price,rating,number_of_reviews,url,ram,rating_rounded,price_category
"Acer Chromebook 315 15.6 inch Laptop Intel Processor N4500 4GB RAM 64GB eMMC Pure Silver, ChromeOS",139.0,4.4,5909,https://walmart.com/ip/Acer-Chromebook-315-15-6-inch-Laptop-Intel-Processor-N4500-4GB-RAM-64GB-eMMC-Pure-Silver/3193557250?classType=VARIANT&athbdg=L1300,4,4.5,Cheap
"Restored Apple MacBook Air 13.3-inch Intel Core i5 8GB RAM Mac OS 128GB SSD Bundle: USA Essentials Bluetooth/Wireless Airbuds, Black Case, Wireless Mouse By Certified 2 Day Express (Refurbished)",217.0,3.8,867,https://walmart.com/ip/Restored-Apple-MacBook-Air-13-3-inch-Intel-Core-i5-8GB-RAM-Mac-OS-128GB-SSD-Bundle-USA-Essentials-Bluetooth-Wireless-Airbuds-Black-Case-Wireless-Mous/1245052032?classType=VARIANT,8,4.0,Cheap
"Auusda 15.6"" Laptop Computer Intel N95 up to 3.4 GHz, 32GB DDR4 RAM, 1TB NVMe SSD, Windows 11 Pro",338.0,3.8,345,https://walmart.com/ip/Auusda-15-6-Laptop-Computer-Intel-N95-up-to-3-4-GHz-32GB-DDR4-RAM-1TB-NVMe-SSD-Windows-11-Pro/2783683137?classType=VARIANT,32,4.0,Cheap
"Dell Latitude 3500 15.6"" Laptop PC | Intel Core i5 8th Gen (1.6) | 16GB RAM | 256GB SSD | Windows 11 | Home or Office Computer",268.0,3.6,40,https://walmart.com/ip/Restored-Dell-Latitude-3500-15-6-Laptop-PC-Intel-Core-i5-8th-Gen-1-6-8GB-RAM-500GB-HDD-Windows-11-Home-or-Office-Computer-Refurbished/9817171884?classType=VARIANT,16,3.5,Cheap
"Apple MacBook Air 13.3 inch Laptop - Space Gray, M1 Chip, Built for Apple Intelligence, 8GB RAM, 256GB storage",649.0,4.7,4895,https://walmart.com/ip/Apple-MacBook-Air-13-3-inch-Laptop-Space-Gray-M1-Chip-8GB-RAM-256GB-storage/609040889?classType=VARIANT,8,4.5,Standard
"ASUS Vivobook S 14 Copilot+ PC 14"" WUXGA OLED Windows Laptop Intel Core Ultra 7 Series 2 258V AI PC Intel Evo 32GB RAM 1TB SSD Black",799.0,4.7,56,https://walmart.com/ip/ASUS-Vivobook-S-14-14-WUXGA-OLED-PC-Laptop-Intel-Core-Ultra-7-32GB-RAM-1TB-SSD-Black-S5406/7447569796?classType=REGULAR&athbdg=L1300,32,4.5,Moderate
ASUS Vivobook Go 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256GB UFS Black,249.0,4.5,275,https://walmart.com/ip/ASUS-Vivobook-Go-15-6-PC-Laptop-Intel-i3-N305-8GB-256GB-Win-11-Home-S-mode-Mixed-Black-E1504GA-WS36/5727766555?classType=REGULAR,8,4.5,Cheap
Lenovo IdeaPad 3i 15 inch Windows Laptop Intel Core i7-1255U 16GB RAM 512GB SSD Arctic Grey,598.0,4.6,287,https://walmart.com/ip/Lenovo-IdeaPad-3i-15-Intel-Core-i7-1255U-16GB-RAM-512-GB-SSD-Arctic-Grey-Windows-11-Home-82RK017QUS/5527026637?classType=REGULAR,16,4.5,Standard
ASUS Vivobook 15.6 inch Windows Laptop Intel Core i5-1235U 8GB RAM 256GB SSD Quiet Blue,299.99,4.6,76,https://walmart.com/ip/ASUS-Vivobook-15-6-inch-PC-Laptop-Intel-Core-i5-1235U-8GB-RAM-256GB-SSD-Quiet-Blue/9963221656?classType=REGULAR,8,4.5,Cheap
ASUS Vivobook S 16 Flip 16 inch Touch 2-in-1 Windows Laptop Intel Core i5-1335U 8GB RAM 512GB SSD Midnight Black,498.0,4.6,135,https://walmart.com/ip/ASUS-Vivobook-S-16-Flip-16-inch-Touch-2-in-1-Laptop-Intel-Core-i5-1335U-8GB-RAM-512GB-SSD-Midnight-Black/5105358616?classType=REGULAR&athbdg=L1300,8,4.5,Cheap
ASUS Chromebook Plus CX34 14 inch Touch Laptop with Google AI Intel Core i3-1215U 8GB RAM 128GB UFS Gray,329.0,4.5,101,https://walmart.com/ip/ASUS-Chromebook-Plus-CX34-14-inch-Touch-Laptop-with-Google-AI-Intel-Core-i3-1215U-8GB-RAM-128GB-UFS-Gray/5098188355?classType=REGULAR&athbdg=L1300,8,4.5,Cheap
HP Pavilion 16 inch Windows Laptop AMD Ryzen 5-8540U AI PC 8GB RAM 512GB SSD Meteor Silver,494.0,4.3,58,https://walmart.com/ip/HP-Pavilion-16-inch-Laptop-AMD-Ryzen-5-8540U-8GB-RAM-512GB-SSD-Meteor-Silver-Aluminum/5144605602?classType=REGULAR&athbdg=L1300,8,4.5,Cheap
ASUS Chromebook CM30 10.5 inch WUXGA Touch 2-in-1 Tablet MediaTek Kompanio 520 8GB RAM 128GB eMMC Stylus Included Fog Silver,219.0,4.3,225,https://walmart.com/ip/ASUS-Chromebook-CM30-10-5-inch-WUXGA-Touch-2-in-1-Tablet-MediaTek-520-8186-8GB-RAM-128GB-eMMC-Stylus-Included-Fog-Silver/5144605689?classType=REGULAR&athbdg=L1300,8,4.5,Cheap
ASUS Chromebook Plus CX34 14 inch Touch Laptop with Google AI Intel Core i3-1215U 8GB RAM 128GB UFS Gray,329.0,4.5,101,https://walmart.com/ip/ASUS-Chromebook-Plus-CX34-14-inch-Touch-Laptop-with-Google-AI-Intel-Core-i3-1215U-8GB-RAM-128GB-UFS-Gray/5098188355?classType=REGULAR&athbdg=L1300,8,4.5,Cheap
HP Stream 14 inch Windows Laptop Intel Processor N4120 4GB RAM 64GB eMMC Pink (12-mo. Microsoft 365 included),189.0,4.2,15589,https://walmart.com/ip/HP-Stream-14-inch-Laptop-Intel-Processor-N4102-4GB-RAM-64GB-eMMC-Pink-12-mo-Microsoft-365-included/443153637?classType=VARIANT,4,4.0,Cheap
RNRUO 14 inch Windows 11 Laptops New Intel N4000 2.6Ghz 8GB RAM 256GB ROM Notebook PC Computer Laptop,180.79,4.2,24,https://walmart.com/ip/14-Inch-Windows-11-Laptops-New-N4000-2-6Ghz-8GB-RAM-256GB-ROM-Notbook-Pc-Computer-Laptop/13172611709?classType=VARIANT,8,4.0,Cheap
"Naclud 15.6"" Windows 11 Laptop 36GB DDR4 128+1024GB ROM Computer, 4 Core Celeron N5095, 1yr Free Office 365 Subscription, Support 5TB Expansion, Copilot",399.39,3.9,97,https://walmart.com/ip/15-6-Laptop-32GB-DDR4-128-ROM-Support-1TB-SSD-Expanded/7558168864?classType=VARIANT,36,4.0,Cheap
"HP 14"" HD Laptop for Students and Business, Intel Quad-Core Processor, 16GB RAM, 64GB eMMC+256GB Micro SD, Long Battery Life, UHD Graphics, Webcam, Windows 11 Home in S Mode, Snowflake White",284.98,4.3,332,https://walmart.com/ip/HP-14-HD-Laptop-Students-Business-Intel-Quad-Core-Processor-16GB-RAM-64GB-eMMC-256GB-Micro-SD-Long-Battery-Life-UHD-Graphics-Webcam-Windows-11-Home-S/5138802239?classType=VARIANT,16,4.5,Cheap
Acer Chromebook 315 15.6 inch Laptop Intel Processor N4500 4GB RAM 64GB eMMC Moonstone Purple,139.0,4.4,5909,https://walmart.com/ip/Acer-Chromebook-315-15-6-inch-Laptop-Intel-Processor-N4500-4GB-RAM-64GB-eMMC-Moonstone-Purple/5113175776?classType=VARIANT&athbdg=L1300,4,4.5,Cheap
ASUS Chromebook CM30 10.5 inch WUXGA Touch 2-in-1 Tablet MediaTek Kompanio 520 8GB RAM 128GB eMMC Stylus Included Fog Silver,219.0,4.3,225,https://walmart.com/ip/ASUS-Chromebook-CM30-10-5-inch-WUXGA-Touch-2-in-1-Tablet-MediaTek-520-8186-8GB-RAM-128GB-eMMC-Stylus-Included-Fog-Silver/5144605689?classType=REGULAR&athbdg=L1300,8,4.5,Cheap
"Auusda 14.1"" FHD Laptop, Intel Celeron J4125, 8GB RAM, 256GB SSD, Windows 11 Pro, Silver",209.9,3.6,424,https://walmart.com/ip/Auusda-14-1-Laptop-Intel-Celeron-J4125-Quad-Core-up-to-2-7GHz-8GB-RAM-256GB-SSD-Bluetooth-Windows-11-Pro-Work-Computer-FHD-1920-1080P-Silver/2079126962?classType=VARIANT,8,3.5,Cheap
HP 15.6 inch Windows Laptop Intel Processor N200 4GB RAM 128GB UFS Scarlet Red (12-mo. Microsoft 365 included),249.0,4.3,5787,https://walmart.com/ip/HP-15-6-inch-Laptop-Intel-Processor-N200-4GB-RAM-128GB-UFS-Scarlet-Red-12-mo-Microsoft-365-included/2706605807?classType=VARIANT,4,4.5,Cheap
"SANPTENT 15.6 inch 1080p FHD Laptop Computer 16GB RAM 512GB SSD with 4 Core Intel Celeron N5095, FingerPrint, Backlit Keyboard, Windows 11 Pro",265.99,3.9,340,https://walmart.com/ip/SANPTENT-15-6-inch-1080p-FHD-Laptop-Computer-16GB-RAM-512GB-SSD-with-4-Core-Intel-Celeron-N5095-FingerPrint-Backlit-Keyboard-Windows-11-Pro/5327171853?classType=VARIANT,16,4.0,Cheap
"14.1in Windows 11 Pro Laptop, Intel Celeron, 8GB RAM, 256GB SSD Computer, 1920x1080, 1TB Expansion",208.39,3.4,85,https://walmart.com/ip/Temlicolo-14-1-Laptop-Intel-Celeron-N4020C-8GB-RAM-PC-256GB-SSD-Windows-11-Pro-Webcam-Full-HD-1920x1080-Laptops/3778910935?classType=VARIANT,8,3.5,Cheap
HP 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256GB SSD Natural Silver,299.0,4.5,1778,https://walmart.com/ip/HP-15-6-inch-Laptop-Intel-Core-i3-N305-8GB-RAM-256GB-SSD-Natural-Silver/5098188131?classType=VARIANT,8,4.5,Cheap
HP Chromebook x360 14 inch FHD IPS Touch 2-in-1 Laptop Intel Processor N100 4GB RAM 64GB eMMC Sky Blue,266.0,4.5,1321,https://walmart.com/ip/HP-Chromebook-X360-14-inch-FHD-IPS-Touch-2-in-1-Laptop-Intel-Processor-N100-4GB-RAM-64GB-eMMC-Sky-Blue/5123764557?classType=REGULAR,4,4.5,Cheap
"SANPTENT 16 inch Windows 11 Pro Laptop 16GB RAM 512GB SSD with 4 Core Intel Alder Lake N95, 1920x1200 FHD IPS Screen, FingerPrint, Backlit Keyboard, Ultra Thin and Light",279.58,3.9,342,https://walmart.com/ip/SANPTENT-16-inch-Windows-11-Pro-Laptop-16GB-RAM-512GB-SSD-4-Core-Intel-Alder-Lake-N95-1920x1200-FHD-IPS-Screen-FingerPrint-Backlit-Keyboard-Ultra-Thi/5328260468?classType=VARIANT,16,4.0,Cheap
"Restored HP Chromebook 11.6-inch Intel Celeron 4GB RAM 16GB 2024 Latest OS Bundle: USA Essentials Bluetooth/Wireless Airbuds, Wireless Mouse By 2 Day Express (Refurbished)",126.0,3.5,1012,https://walmart.com/ip/Restored-HP-Chromebook-11-6-inch-Intel-Celeron-4GB-RAM-16GB-2022-Latest-OS-Bundle-USA-Essentials-Bluetooth-Wireless-Airbuds-Wireless-Mouse-By-Certifi/151943695?classType=REGULAR,4,3.5,Cheap
"Lenovo IdeaPad 1 Student Laptop, 15.6"" FHD Display, Intel Dual Core Processor, 12GB RAM, 128GB eMMC + 256GB SSD, 1 Yr Office 365, Wi-Fi 6, Windows 11 Home, Grey",279.0,4.2,78,https://walmart.com/ip/Lenovo-IdeaPad-1-Laptop-Intel-Dual-Core-Processor-12GB-RAM-256GB-SSD-128GB-eMMC-15-6-FHD-Display-Year-Office-365-Numeric-Keypad-Windows-11-Home/5296606454?classType=REGULAR,12,4.0,Cheap
Lenovo IdeaPad 1 15.6 inch Windows Laptop AMD Ryzen 3-7320U 8GB RAM 256GB SSD Abyss Blue,305.0,4.4,827,https://walmart.com/ip/Lenovo-Ideapad-1-15-6-inch-Laptop-AMD-Ryzen-3-7320U-8GB-RAM-256GB-SSD-Abyss-Blue/2670414563?classType=REGULAR,8,4.5,Cheap
HP Chromebook 14 inch Laptop Intel Processor N200 4GB RAM 128GB UFS Glacier Silver,191.49,4.5,1550,https://walmart.com/ip/HP-Chromebook-14-inch-Laptop-Intel-Processor-N200-4GB-RAM-128GB-UFS-Glacier-Silver/5098188136?classType=REGULAR,4,4.5,Cheap
"SANPTENT 17.3"" Windows 11 Pro Laptop 16GB RAM 512GB SSD with 4 Core Intel Celeron N5095, 1600x900 IPS Screen, FingerPrint, Backlit Keyboard",303.58,4.1,348,https://walmart.com/ip/SANPTENT-17-3-Windows-11-Pro-Laptop-16GB-RAM-512GB-SSD-with-4-Core-Intel-Celeron-N5095-1600x900-IPS-Screen-FingerPrint-Backlit-Keyboard/5259688726?classType=VARIANT,16,4.0,Cheap
Lenovo IdeaPad Slim 3 15.6 inch Windows Laptop AMD Ryzen 5-7520U 8GB RAM 256GB SSD Arctic Grey,422.69,4.6,330,https://walmart.com/ip/Lenovo-Ideapad-Slim-3-15-6-inch-FHD-IPS-Laptop-AMD-Ryzen-5-7520U-8GB-RAM-256GB-SSD-Arctic-Grey/5096127174?classType=REGULAR,8,4.5,Cheap
"Auusda 15.6"" Laptop Computer AMD Ryzen 7 5825U 2.0-4.5GHz, 32GB DDR4 RAM 1TB NVMe SSD, Windows 11 Pro Gaming Laptop",526.99,3.7,53,https://walmart.com/ip/Auusda-15-6-Laptop-Computer-w-AMD-Ryzen-7-5700U-Up-to-4-3-GHz-32GB-DDR4-RAM-1TB-NVMe-SSD-Windows-11-Pro-Gaming-Laptop/5445789867?classType=VARIANT,32,3.5,Standard
"HP 15.6 Touchscreen Laptop for Business, Core i3-1215U, 16 GB RAM, 512 GB SSD, Suitable for College Students, Micro-Edge, Anti-Glare, MS Office Pro 2024 Lifetime License, Windows 11 Pro",499.0,4.4,183,https://walmart.com/ip/HP-15-6-Touchscreen-Laptop-Business-Core-i3-1215U-16-GB-RAM-512-SSD-Suitable-College-Students-Micro-Edge-Anti-Glare-MS-Office-Pro-2024-Lifetime-Licen/14446502089?classType=VARIANT,16,4.5,Cheap
HP 15.6 inch Windows Laptop Intel Core i5-1235U 8GB RAM 256GB SSD Spruce Blue,405.9,4.3,1683,https://walmart.com/ip/HP-15-6-inch-Laptop-Intel-Core-i5-1235U-8GB-RAM-256GB-SSD-Spruce-Blue/5464020316?classType=REGULAR,8,4.5,Cheap
"HP Newest 14"" Laptop, Slim Light Laptop Computer for Students and Business, Intel Quad-Core N4120, 1 Year Office 365, Webcam, HDMI, WiFi, Win 11, 16GB RAM, 256GB Storage(128GB eMMC+128GB SD)",276.49,4.2,252,https://walmart.com/ip/HP-Newest-14-Laptop-Slim-Thin-Light-Laptop-Computer-Students-Business-Intel-Quad-Core-N4120-1-Year-Office-365-Webcam-HDMI-WiFi-Win-11-16GB-RAM-192GB/252298675?classType=VARIANT,16,4.0,Cheap
Laptop 17.3 FHD Intel Alder Lake N97 up to 3.6GHz 16GB DDR4 512GB SSD with Windows 11,339.69,4.6,338,https://walmart.com/ip/Tower-plug/8127170837?classType=REGULAR,16,4.5,Cheap
Lenovo IdeaPad Slim 3 15.6 inch FHD Touch Windows Laptop AMD Ryzen 7-7730U 16GB RAM 512GB SSD Abyss Blue,479.8,4.6,362,https://walmart.com/ip/Lenovo-Ideapad-Slim-3-15-6-inch-FHD-IPS-Touch-Laptop-AMD-Ryzen-7-7730U-16GB-RAM-512GB-SSD-Abyss-Blue/5098188190?classType=REGULAR,16,4.5,Cheap
"CHUWI HeroBook Pro 14.1"" Laptop,256GB SSD 8G RAM,Windows 11 Bussiness Notebook Computer PC,Intel Gemini-Lake N4020 Quad Core Processor,1TB SSD Expand",189.9,4.4,1266,https://walmart.com/ip/CHUWI-HeroBook-Pro-14-1-Laptop-256GB-SSD-8G-RAM-Windows-11-Bussiness-Notebook-Computer-PC-Intel-Gemini-Lake-N4020-Quad-Core-Processor-IPS-Screen-1TB/657509680?classType=VARIANT,8,4.5,Cheap
HP 15.6 inch Windows Laptop Intel Core i5-1235U 8GB RAM 256GB SSD Silver,334.19,4.4,941,https://walmart.com/ip/HP-15-6-FHD-Laptop-Intel-Core-i5-1235U-8GB-RAM-256GB-SSD-Silver-Windows-11-Home-15-fd0095wm/5689515658?classType=VARIANT,8,4.5,Cheap
"HP 14"" Laptop for Student Business, Intel Quad-Core N4120, 16GB RAM, 384GB Storage(128GB eMMC+256GB Micro SD), 1-Year Microsoft 365, Windows 11 Pro, Stream Series, WiFi, Ultra Light",359.99,5.0,1,https://walmart.com/ip/HP-14-Laptop-Student-Business-Intel-Quad-Core-N4120-16GB-RAM-384GB-Storage-128GB-eMMC-256GB-Micro-SD-1-Year-Microsoft-365-Windows-11-Pro-Stream-Serie/9483107130?classType=VARIANT,16,5.0,Cheap
"HP Newest 15 15.6\"" HD Touchscreen Business Laptop Computer, 12th Gen Intel Core i3-1215U, 8GB RAM, 256GB PCIe SSD, Long Battery Life, Wi-Fi 5, Bluetooth, Natural Silver",319.9,4.1,325,https://walmart.com/ip/HP-Newest-15-15-6-HD-Touchscreen-Windows-11-Pro-Business-Laptop-Computer-12th-Gen-Intel-Core-i3-1215U-8GB-RAM-256GB-PCIe-SSD-Long-Battery-Life-Wi-Fi/5033292176?classType=VARIANT,8,4.0,Cheap
"TECLAST 17.3"" Windows 11 Pro Laptop 16GB RAM 512GB SSD with with Intel N95 Processor(up to 3.4Ghz), WiFi 6/BT 5.0, 1600x900 IPS Screen, FingerPrint, Backlit Keyboard",299.29,4.7,240,https://walmart.com/ip/Android-Tablet-Teclast-P40HD-2-4G-5G-WiFi-4G-Cellular-Tablet-10-inch-128GB-ROM-16GB-RAM-13-Tablets-1920-1200-FHD-IPS-Screen-Google-GMS-Certified-Tabl/5266167389?classType=REGULAR,16,4.5,Cheap
HP Victus 15.6 inch FHD 144Hz Gaming Laptop Intel Core i5-13420H NVIDIA GeForce RTX 4050 6GB - 16GB DDR4 512GB SSD Mica Silver (2024),664.0,4.5,588,https://walmart.com/ip/HP-Victus-15-6-FHD-Laptop-Intel-Corei5-13420H-16GB-RAM-512GB-SSD-RTX-4050-Windows-11-Home-15-fa1082wm/5687320790?classType=REGULAR,16,4.5,Standard
